cohort,cancer,cancer_label,rank,source,source_label,modality,relation,interpretation,a,lcb,expected,evidence_class
control,icd_193,Malignant neoplasm of thyroid gland,3,icd_240,Simple and unspecified goiter,icd,within,clinical precursor,3.486847791405974,2.7430284938651845,7.229780439413901,positive control: same organ system
control,icd_193,Malignant neoplasm of thyroid gland,4,icd_245,Thyroiditis,icd,within,clinical precursor,3.062945819975033,2.215420755859662,5.568713696644807,positive control: same organ system
control,icd_193,Malignant neoplasm of thyroid gland,5,icd_252,Disorders of parathyroid gland,icd,within,clinical precursor,2.5359587816015683,1.7310908265714229,6.174626860217359,cross-system candidate
control,icd_193,Malignant neoplasm of thyroid gland,6,lab_19080-1_NORMAL,Choriogonadotropin [Units/volume] in Serum or Plasma - normal,lab,across,laboratory,2.0059776280792594,1.4370071614245827,12.35607520331098,positive control: tumour marker ordering
control,icd_172,Malignant melanoma of skin,1,icd_709,Other disorders of skin and subcutaneous tissue,icd,within,clinical precursor,2.248318117488544,1.8285451578182363,22.700272601232427,positive control: same organ system
control,icd_172,Malignant melanoma of skin,2,icd_702,Other dermatoses,icd,within,clinical precursor,1.9659237888815724,1.4273381499969824,13.789561413376076,positive control: same organ system
control,icd_153,Malignant neoplasm of colon,1,med_7300,neomycin,med,across,medication,4.959191642544138,3.7500011770783166,2.7357131825417014,care pathway: procedure preparation
control,icd_153,Malignant neoplasm of colon,2,icd_560,Intestinal obstruction without mention of hernia,icd,within,clinical precursor,2.637652369392789,1.7011725641444433,4.561032411454789,positive control: same organ system
control,icd_153,Malignant neoplasm of colon,3,icd_569,Other disorders of intestine,icd,within,clinical precursor,2.158834405383161,1.5730805523138436,11.658151190182934,positive control: same organ system
control,icd_153,Malignant neoplasm of colon,4,icd_578,Gastrointestinal hemorrhage,icd,within,clinical precursor,1.881831665889428,1.1089110797818749,6.695611433006661,positive control: same organ system
control,icd_153,Malignant neoplasm of colon,5,med_6960,midazolam,med,across,care pathway,1.5221817690639343,1.013359922839502,15.450000309129564,care pathway
control,icd_182,Malignant neoplasm of body of uterus,1,icd_621,"Disorders of uterus, not elsewhere classified",icd,within,clinical precursor,3.3340203131675885,2.8559874192046246,17.50428708463346,positive control: same organ system
control,icd_182,Malignant neoplasm of body of uterus,2,lab_19080-1_NORMAL,Choriogonadotropin [Units/volume] in Serum or Plasma - normal,lab,across,laboratory,2.7166310800205977,2.2850839753038104,21.47848163726303,positive control: tumour marker ordering
