cohort,cancer,cancer_label,rank,source,source_label,modality,relation,interpretation,a,lcb,expected,evidence_class
control,icd_163,Malignant neoplasm of pleura,1,icd_511,Pleurisy,icd,within,clinical precursor,3.553045934509573,2.7178451626608724,5.734271047255675,positive control: same organ system
control,icd_C61,Malignant neoplasm of prostate,1,icd_Z00,"Encounter for general examination without complaint, suspected or reported diagnosis",icd,within,clinical precursor,2.992887764784435,1.6368684969815377,2.1753456331248344,care pathway: screening encounter
control,icd_C61,Malignant neoplasm of prostate,2,proc_99214,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the enco...",proc,across,care pathway,2.7665081743309505,1.4402118633557333,2.2739393023932597,care pathway
control,icd_C61,Malignant neoplasm of prostate,3,proc_99213,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter...",proc,across,care pathway,2.6114487354538047,1.412826701225759,2.784168254158544,care pathway
full,icd_174,Malignant neoplasm of female breast,1,icd_611,Other disorders of breast,icd,within,clinical precursor,2.880480930533052,2.7566474090509923,260.8456177300632,positive control: same organ system
full,icd_174,Malignant neoplasm of female breast,2,icd_V84,Genetic susceptibility to disease,icd,within,clinical precursor,3.035378032202348,2.112007288577398,4.691457334888696,cross-system candidate
full,icd_174,Malignant neoplasm of female breast,3,icd_610,Benign mammary dysplasias,icd,within,clinical precursor,2.161854363148448,1.8389158387211828,38.35484907941827,positive control: same organ system
full,icd_174,Malignant neoplasm of female breast,4,icd_793,Nonspecific (abnormal) findings on radiological and other examination of body structure,icd,within,clinical precursor,1.9229925529765448,1.7416119426559378,121.5845169013528,cross-system candidate
full,icd_173,Other and unspecified malignant neoplasm of skin,1,icd_702,Other dermatoses,icd,within,clinical precursor,2.6939351328232406,2.4994845906348324,105.7892831962613,positive control: same organ system
full,icd_173,Other and unspecified malignant neoplasm of skin,2,icd_709,Other disorders of skin and subcutaneous tissue,icd,within,clinical precursor,2.370541398922444,2.158119363225545,88.64635001361239,positive control: same organ system
full,icd_173,Other and unspecified malignant neoplasm of skin,3,icd_692,Contact dermatitis and other eczema,icd,within,clinical precursor,1.5552529529096792,1.2550367155620967,44.38044332470645,positive control: same organ system
full,icd_173,Other and unspecified malignant neoplasm of skin,4,icd_706,Diseases of sebaceous glands,icd,within,clinical precursor,1.440028409947515,1.091887198916627,33.002673274324934,positive control: same organ system
full,icd_185,Malignant neoplasm of prostate,1,icd_602,Other disorders of prostate,icd,within,clinical precursor,3.978807359813726,3.388698724072217,11.48672042440603,positive control: same organ system
full,icd_185,Malignant neoplasm of prostate,2,lab_2857-1_HIGH,Prostate specific Ag [Mass/volume] in Serum or Plasma - high,lab,across,laboratory,3.836730104538116,3.3553477511625385,17.261544801925538,positive control: tumour marker ordering
full,icd_185,Malignant neoplasm of prostate,3,icd_790,Nonspecific findings on examination of blood,icd,within,clinical precursor,2.9916870081861457,2.807799889784056,118.29254535837843,positive control: same organ system
full,icd_185,Malignant neoplasm of prostate,4,icd_600,Hyperplasia of prostate,icd,within,clinical precursor,2.584733035768093,2.316116841772383,55.43647517596719,positive control: same organ system
full,icd_185,Malignant neoplasm of prostate,5,icd_607,Disorders of penis,icd,within,clinical precursor,1.922106539623402,1.253304633640301,8.942624334612503,positive control: same organ system
full,icd_202,Other malignant neoplasms of lymphoid and histiocytic tissue,1,lab_2458-8_LOW,IgA [Mass/volume] in Serum or Plasma - low,lab,across,laboratory,4.456786154474128,3.672895484219169,6.50952051724272,positive control: paraprotein workup panel
full,icd_202,Other malignant neoplasms of lymphoid and histiocytic tissue,2,lab_2472-9_HIGH,IgM [Mass/volume] in Serum or Plasma - high,lab,across,laboratory,4.3605910910362295,3.6319635771030496,7.534403204922228,positive control: paraprotein workup panel
full,icd_202,Other malignant neoplasms of lymphoid and histiocytic tissue,3,lab_2465-3_LOW,IgG [Mass/volume] in Serum or Plasma - low,lab,across,laboratory,4.026145260490566,3.204161725005093,5.920164223806779,positive control: paraprotein workup panel
full,icd_202,Other malignant neoplasms of lymphoid and histiocytic tissue,4,lab_2874-6_HIGH,Gamma globulin [Mass/volume] in Serum or Plasma by Electrophoresis - high,lab,across,laboratory,3.7595440767244015,2.802330804163642,4.365586197150208,positive control: tumour marker ordering
full,icd_202,Other malignant neoplasms of lymphoid and histiocytic tissue,5,icd_273,Disorders of plasma protein metabolism,icd,within,clinical precursor,3.1813909558936766,2.7741762234203327,24.121984148732736,cross-system candidate
full,icd_202,Other malignant neoplasms of lymphoid and histiocytic tissue,6,lab_8101-8_NORMAL,CD3+CD8+ (T8 suppressor) cells/cells in Blood - normal,lab,across,laboratory,3.5714796611570025,2.465622808149659,3.270861569098656,cross-system candidate
full,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",1,lab_2039-6_HIGH,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma - high,lab,across,laboratory,5.301396045721114,4.411103593330456,5.046550321449047,positive control: tumour marker ordering
full,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",2,icd_518,Other diseases of lung,icd,within,clinical precursor,2.519927480115416,2.3162575728699,96.42868850593824,positive control: same organ system
full,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",3,icd_492,Emphysema,icd,within,clinical precursor,2.7213837196762625,2.062833057287964,9.22319964584426,positive control: same organ system
full,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",4,icd_511,Pleurisy,icd,within,clinical precursor,2.0317620120864786,1.6312187501147863,24.932230347300788,positive control: same organ system
full,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",5,icd_519,Other diseases of respiratory system,icd,within,clinical precursor,2.4830018834352097,1.5840925147192406,4.950261914436737,positive control: same organ system
full,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",6,icd_512,Pneumothorax and air leak,icd,within,clinical precursor,2.2725450812891976,1.5795467298498864,8.329052285525904,positive control: same organ system
full,icd_183,Malignant neoplasm of ovary and other uterine adnexa,1,lab_19080-1_NORMAL,Choriogonadotropin [Units/volume] in Serum or Plasma - normal,lab,across,laboratory,2.9800391309666687,2.6729201043281035,42.40787840213898,positive control: tumour marker ordering
full,icd_183,Malignant neoplasm of ovary and other uterine adnexa,2,icd_620,"Noninflammatory disorders of ovary, fallopian tube, and broad ligament",icd,within,clinical precursor,2.624650908445968,2.2360685813769514,26.490728509102155,positive control: same organ system
full,icd_183,Malignant neoplasm of ovary and other uterine adnexa,3,lab_5902-2_NORMAL,Prothrombin time (PT) - normal,lab,across,laboratory,2.1407726738290616,1.9021650346603665,70.25727541762171,cross-system candidate
full,icd_183,Malignant neoplasm of ovary and other uterine adnexa,4,lab_2336-6_HIGH,Globulin [Mass/volume] in Serum - high,lab,across,laboratory,2.707460107346129,1.9005802714756983,6.143873517275949,positive control: paraprotein workup panel
full,icd_183,Malignant neoplasm of ovary and other uterine adnexa,5,icd_V72,Special investigations and examinations,icd,within,clinical precursor,2.0114884050642488,1.8288811892160564,119.95659269991393,care pathway: screening encounter
full,icd_183,Malignant neoplasm of ovary and other uterine adnexa,6,med_91166,ephedrine,med,across,medication,2.1300081274366764,1.4229069195195745,8.000126110182748,cross-system candidate
full,icd_191,Malignant neoplasm of brain,1,icd_348,Other conditions of brain,icd,within,clinical precursor,3.6917735566476737,3.4408619523716952,63.53579915578303,positive control: same organ system
full,icd_191,Malignant neoplasm of brain,2,med_114477,levetiracetam,med,across,medication,3.7030728257012777,3.0136500612050745,8.415671063191041,cross-system candidate
full,icd_191,Malignant neoplasm of brain,3,med_8183,phenytoin,med,across,medication,3.495101695286886,2.762575402349713,7.454414811312517,cross-system candidate
full,icd_191,Malignant neoplasm of brain,4,lab_3968-5_NORMAL,Phenytoin [Mass/volume] in Serum or Plasma - normal,lab,across,laboratory,3.563063634216149,2.6476992163049053,4.773884839674679,cross-system candidate
full,icd_191,Malignant neoplasm of brain,5,med_3264,dexamethasone,med,across,medication,3.0958116419598447,2.5498189452482447,13.41795478953054,cross-system candidate
full,icd_191,Malignant neoplasm of brain,6,med_235988,venlafaxine,med,across,medication,3.54506729944063,2.2290088639095123,2.3094557471677035,cross-system candidate
full,icd_193,Malignant neoplasm of thyroid gland,1,icd_241,Nontoxic nodular goiter,icd,within,clinical precursor,4.04963628557377,3.845595833568261,96.0787706306437,positive control: same organ system
full,icd_193,Malignant neoplasm of thyroid gland,2,icd_246,Other disorders of thyroid,icd,within,clinical precursor,3.7665999261052714,3.268825160019237,16.143371363444203,positive control: same organ system
full,icd_193,Malignant neoplasm of thyroid gland,3,icd_240,Simple and unspecified goiter,icd,within,clinical precursor,3.4510550122851087,2.7326566068601097,7.75049199327168,positive control: same organ system
full,icd_193,Malignant neoplasm of thyroid gland,4,icd_245,Thyroiditis,icd,within,clinical precursor,3.058094931647706,2.2392015072481524,5.964928245297415,positive control: same organ system
full,icd_193,Malignant neoplasm of thyroid gland,5,icd_V72,Special investigations and examinations,icd,within,clinical precursor,1.9313923832933444,1.7202502856786923,89.72435143471557,care pathway: screening encounter
full,icd_193,Malignant neoplasm of thyroid gland,6,lab_19080-1_NORMAL,Choriogonadotropin [Units/volume] in Serum or Plasma - normal,lab,across,laboratory,1.972557481853424,1.4079549130187463,12.547993694321915,positive control: tumour marker ordering
full,icd_172,Malignant melanoma of skin,1,icd_709,Other disorders of skin and subcutaneous tissue,icd,within,clinical precursor,2.232357757119241,1.8279483291871663,24.45780330471007,positive control: same organ system
full,icd_172,Malignant melanoma of skin,2,icd_702,Other dermatoses,icd,within,clinical precursor,1.946006634292288,1.4438545415816395,15.863150239096171,positive control: same organ system
full,icd_153,Malignant neoplasm of colon,1,med_7300,neomycin,med,across,medication,5.001854646975488,3.8536509956655296,3.0340458824418874,care pathway: procedure preparation
full,icd_153,Malignant neoplasm of colon,2,icd_560,Intestinal obstruction without mention of hernia,icd,within,clinical precursor,2.641913981795648,1.743405906043769,4.954684688005955,positive control: same organ system
full,icd_153,Malignant neoplasm of colon,3,icd_569,Other disorders of intestine,icd,within,clinical precursor,2.167227569101658,1.605174864709818,12.66210491593938,positive control: same organ system
full,icd_153,Malignant neoplasm of colon,4,icd_578,Gastrointestinal hemorrhage,icd,within,clinical precursor,1.8644059247262488,1.1169453511726648,7.159511841997983,positive control: same organ system
full,icd_153,Malignant neoplasm of colon,5,med_4053,erythromycin,med,across,medication,2.1708183675687733,1.0630246798183838,3.2594342061753423,cross-system candidate
full,icd_153,Malignant neoplasm of colon,6,med_6960,midazolam,med,across,care pathway,1.516228290873661,1.025340668487836,16.59953139658694,care pathway
full,icd_182,Malignant neoplasm of body of uterus,1,icd_621,"Disorders of uterus, not elsewhere classified",icd,within,clinical precursor,3.3528133700469303,2.9007864973030766,19.576339272003903,positive control: same organ system
full,icd_182,Malignant neoplasm of body of uterus,2,lab_19080-1_NORMAL,Choriogonadotropin [Units/volume] in Serum or Plasma - normal,lab,across,laboratory,2.7147744692712927,2.290616401568856,22.23333068629927,positive control: tumour marker ordering
full,icd_182,Malignant neoplasm of body of uterus,3,icd_627,Menopausal and postmenopausal disorders,icd,within,clinical precursor,2.1393808295537906,1.6787767536693543,18.854040597668245,positive control: same organ system
full,icd_182,Malignant neoplasm of body of uterus,4,icd_V72,Special investigations and examinations,icd,within,clinical precursor,1.765569273142579,1.5158005142697093,64.11855992730761,care pathway: screening encounter
full,icd_182,Malignant neoplasm of body of uterus,5,icd_622,Noninflammatory disorders of cervix,icd,within,clinical precursor,2.073499911124633,1.5140500157268262,12.780198443934864,positive control: same organ system
full,icd_182,Malignant neoplasm of body of uterus,6,icd_620,"Noninflammatory disorders of ovary, fallopian tube, and broad ligament",icd,within,clinical precursor,2.03428398193027,1.4028919253294267,10.033715060108648,positive control: same organ system
full,icd_171,Malignant neoplasm of connective and other soft tissue,1,lab_5898-2_NORMAL,Deprecated Activated partial thrombplastin time (aPTT) in Blood by Coagulation assay - normal,lab,across,laboratory,1.6228584746932766,1.2198079943487743,24.623007943202538,cross-system candidate
full,icd_171,Malignant neoplasm of connective and other soft tissue,2,lab_5902-2_NORMAL,Prothrombin time (PT) - normal,lab,across,laboratory,1.633190510217054,1.2029166927690884,21.60579006873013,cross-system candidate
full,icd_171,Malignant neoplasm of connective and other soft tissue,3,lab_3173-2_NORMAL,aPTT in Blood by Coagulation assay - normal,lab,across,laboratory,1.5377831243297986,1.114752179781317,22.3519654417446,cross-system candidate
full,icd_189,Malignant neoplasm of kidney and other and unspecified urinary organs,1,icd_593,Other disorders of kidney and ureter,icd,within,clinical precursor,4.25983025326877,3.929009609167403,36.54893996651481,positive control: same organ system
full,icd_189,Malignant neoplasm of kidney and other and unspecified urinary organs,2,icd_753,Congenital anomalies of urinary system,icd,within,clinical precursor,3.8179954000137504,2.829385892237965,4.092704844324487,cross-system candidate
full,icd_189,Malignant neoplasm of kidney and other and unspecified urinary organs,3,icd_591,Hydronephrosis,icd,within,clinical precursor,2.758429260164387,1.5836991375118932,2.898569920170928,positive control: same organ system
full,icd_189,Malignant neoplasm of kidney and other and unspecified urinary organs,4,icd_592,Calculus of kidney and ureter,icd,within,clinical precursor,2.0533364634013878,1.2853673155321017,6.782228928846848,positive control: same organ system
full,icd_188,Malignant neoplasm of bladder,1,icd_599,Other disorders of urethra and urinary tract,icd,within,clinical precursor,2.619509136550493,2.17948340904912,20.65874105512239,positive control: same organ system
full,icd_188,Malignant neoplasm of bladder,2,icd_596,Other disorders of bladder,icd,within,clinical precursor,2.929938060250532,2.037898425272846,5.026800952461201,positive control: same organ system
full,icd_188,Malignant neoplasm of bladder,3,icd_591,Hydronephrosis,icd,within,clinical precursor,2.840311611069103,1.6135485483675267,2.6578998285929742,positive control: same organ system
full,icd_188,Malignant neoplasm of bladder,4,icd_593,Other disorders of kidney and ureter,icd,within,clinical precursor,2.376914248776252,1.4542031793603751,4.698167863904075,positive control: same organ system
full,icd_205,Myeloid leukemia,1,icd_284,Aplastic anemia and other bone marrow failure syndromes,icd,within,clinical precursor,4.5138367844970375,3.292253429419968,2.680487450452091,positive control: same organ system
full,icd_205,Myeloid leukemia,2,icd_288,Diseases of white blood cells,icd,within,clinical precursor,3.781143047186773,3.1487763949441376,10.00281121835883,positive control: same organ system
full,icd_205,Myeloid leukemia,3,lab_2532-0_HIGH,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma - high,lab,across,laboratory,4.0959078443828805,2.829837381433113,2.495423366791499,cross-system candidate
full,icd_205,Myeloid leukemia,4,lab_737-7_LOW,Lymphocytes/Leukocytes in Blood by Manual count - low,lab,across,laboratory,2.908875142464072,2.1312814382421186,6.615375796487797,cross-system candidate
full,icd_205,Myeloid leukemia,5,lab_714-6_NORMAL,Eosinophils/Leukocytes in Blood by Manual count - normal,lab,across,laboratory,2.7549527594931806,2.0894244390390457,9.030814249147056,cross-system candidate
full,icd_205,Myeloid leukemia,6,med_8591,potassium chloride,med,across,medication,2.1114713913571688,1.440674411183119,8.889509404091655,cross-system candidate
full,icd_157,Malignant neoplasm of pancreas,1,icd_577,Diseases of pancreas,icd,within,clinical precursor,4.480459305610909,4.101269447969795,27.819323592647837,positive control: same organ system
full,icd_157,Malignant neoplasm of pancreas,2,icd_576,Other disorders of biliary tract,icd,within,clinical precursor,4.221625604501728,3.471099498253036,7.101145065425953,cross-system candidate
full,icd_157,Malignant neoplasm of pancreas,3,icd_573,Other disorders of liver,icd,within,clinical precursor,2.4661310327086348,1.427935134064542,3.711089032160999,cross-system candidate
full,icd_157,Malignant neoplasm of pancreas,4,lab_6768-6_HIGH,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma - high,lab,across,laboratory,2.453050101735061,1.3850053938560472,3.5065588051345173,cross-system candidate
full,icd_157,Malignant neoplasm of pancreas,5,lab_1751-7_LOW,Albumin [Mass/volume] in Serum or Plasma - low,lab,across,laboratory,2.064143932731476,1.068547953732792,4.035466287069937,cross-system candidate
full,icd_157,Malignant neoplasm of pancreas,6,icd_789,Other symptoms involving abdomen and pelvis,icd,within,clinical precursor,1.484182119836894,1.009348736256528,17.74097572722826,cross-system candidate
full,icd_203,Multiple myeloma and immunoproliferative neoplasms,1,lab_33944-0_NORMAL,Lambda light chains.free [Mass/volume] in Serum or Plasma - normal,lab,across,laboratory,5.851965950655309,4.755900780829728,3.3295630013812456,positive control: tumour marker ordering
full,icd_203,Multiple myeloma and immunoproliferative neoplasms,2,lab_36916-5_NORMAL,Kappa light chains.free [Mass/volume] in Serum - normal,lab,across,laboratory,5.858769233145424,4.595414377033441,2.5061628228240806,positive control: tumour marker ordering
full,icd_203,Multiple myeloma and immunoproliferative neoplasms,3,lab_2465-3_HIGH,IgG [Mass/volume] in Serum or Plasma - high,lab,across,laboratory,5.577279388282454,4.549442089106522,3.786267065858624,positive control: paraprotein workup panel
full,icd_203,Multiple myeloma and immunoproliferative neoplasms,4,lab_2458-8_LOW,IgA [Mass/volume] in Serum or Plasma - low,lab,across,laboratory,5.507072447516217,4.509007668748057,4.015526827071454,positive control: paraprotein workup panel
full,icd_203,Multiple myeloma and immunoproliferative neoplasms,5,icd_273,Disorders of plasma protein metabolism,icd,within,clinical precursor,4.665032812564061,4.247563313252273,22.951469086028737,positive control: same organ system
full,icd_203,Multiple myeloma and immunoproliferative neoplasms,6,lab_2874-6_HIGH,Gamma globulin [Mass/volume] in Serum or Plasma by Electrophoresis - high,lab,across,laboratory,5.135436666700196,4.099799955075355,3.7294528181556927,positive control: tumour marker ordering
full,icd_154,"Malignant neoplasm of rectum, rectosigmoid junction, and anus",1,icd_569,Other disorders of intestine,icd,within,clinical precursor,2.8610786774065504,2.275511332568942,11.6655788155648,positive control: same organ system
full,icd_180,Malignant neoplasm of cervix uteri,1,icd_622,Noninflammatory disorders of cervix,icd,within,clinical precursor,3.612852606503845,3.223744832958085,26.419231291255755,positive control: same organ system
full,icd_180,Malignant neoplasm of cervix uteri,2,icd_795,"Other and nonspecific abnormal cytological, histological, immunological and DNA test findings",icd,within,clinical precursor,2.4934906874572937,1.8874473713784847,10.890621376666104,cross-system candidate
full,icd_180,Malignant neoplasm of cervix uteri,3,lab_19080-1_NORMAL,Choriogonadotropin [Units/volume] in Serum or Plasma - normal,lab,across,laboratory,2.123587661382549,1.267580856824119,5.458905262951816,positive control: tumour marker ordering
full,icd_180,Malignant neoplasm of cervix uteri,4,icd_623,Noninflammatory disorders of vagina,icd,within,clinical precursor,2.434971227661612,1.1997943143933167,2.621812682927924,positive control: same organ system
full,icd_170,Malignant neoplasm of bone and articular cartilage,1,icd_733,Other disorders of bone and cartilage,icd,within,clinical precursor,2.3111957864461634,1.8338877151347703,17.557490195715218,cross-system candidate
full,icd_204,Lymphoid leukemia,1,lab_2472-9_NORMAL,IgM [Mass/volume] in Serum or Plasma - normal,lab,across,laboratory,3.515688765345658,2.125813382454641,2.0706574800650657,positive control: paraprotein workup panel
full,icd_204,Lymphoid leukemia,2,icd_288,Diseases of white blood cells,icd,within,clinical precursor,3.0618658089781428,1.954556342038152,3.262285497540745,positive control: same organ system
full,icd_204,Lymphoid leukemia,3,lab_789-8_LOW,Erythrocytes [#/volume] in Blood by Automated count - low,lab,across,laboratory,1.936950174607144,1.4522083863025572,17.023116444845073,cross-system candidate
full,icd_204,Lymphoid leukemia,4,lab_788-0_HIGH,Erythrocyte [DistWidth] in Red Blood Cells by Automated count - high,lab,across,laboratory,2.0832865610556435,1.4288477910409003,9.339463988214618,cross-system candidate
full,icd_204,Lymphoid leukemia,5,lab_777-3_LOW,Platelets [#/volume] in Blood by Automated count - low,lab,across,laboratory,2.223386114942968,1.3090845505151647,4.7849903424876175,cross-system candidate
full,icd_204,Lymphoid leukemia,6,lab_764-1_NORMAL,Band form neutrophils/Leukocytes in Blood by Manual count - normal,lab,across,laboratory,2.373182436082789,1.25639705870061,3.2071594597399558,cross-system candidate
full,icd_150,Malignant neoplasm of esophagus,1,icd_530,Diseases of esophagus,icd,within,clinical precursor,2.7155277984426784,2.253596153466785,18.745825132211053,positive control: same organ system
full,icd_155,Malignant neoplasm of liver and intrahepatic bile ducts,1,icd_573,Other disorders of liver,icd,within,clinical precursor,4.555411174685137,4.094385311237344,18.81955766431838,positive control: same organ system
full,icd_155,Malignant neoplasm of liver and intrahepatic bile ducts,2,icd_571,Chronic liver disease and cirrhosis,icd,within,clinical precursor,3.2269463471402395,2.442796548150297,6.505218979169058,positive control: same organ system
full,icd_155,Malignant neoplasm of liver and intrahepatic bile ducts,3,icd_070,Viral hepatitis,icd,within,clinical precursor,3.1603930253431187,2.401597826066924,6.947216643868046,cross-system candidate
full,icd_155,Malignant neoplasm of liver and intrahepatic bile ducts,4,icd_576,Other disorders of biliary tract,icd,within,clinical precursor,3.486168464858626,2.1178232069800518,2.1363313242634376,positive control: same organ system
full,icd_155,Malignant neoplasm of liver and intrahepatic bile ducts,5,lab_1975-2_HIGH,Bilirubin.total [Mass/volume] in Serum or Plasma - high,lab,across,laboratory,2.855347605873457,1.6602769422061183,2.800740168938773,cross-system candidate
full,icd_155,Malignant neoplasm of liver and intrahepatic bile ducts,6,lab_6768-6_HIGH,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma - high,lab,across,laboratory,2.7820126003240326,1.63838788387668,3.0583904259039656,cross-system candidate
full,icd_151,Malignant neoplasm of stomach,1,lab_789-8_LOW,Erythrocytes [#/volume] in Blood by Automated count - low,lab,across,laboratory,1.7328842881386404,1.154419275897275,11.953794863284202,cross-system candidate
full,icd_151,Malignant neoplasm of stomach,2,icd_578,Gastrointestinal hemorrhage,icd,within,clinical precursor,2.2334814920980435,1.1062447286955706,3.1479636056280924,cross-system candidate
full,icd_151,Malignant neoplasm of stomach,3,lab_718-7_LOW,Hemoglobin [Mass/volume] in Blood - low,lab,across,laboratory,1.6797286054916307,1.0570325549428,10.315915329433096,cross-system candidate
full,icd_151,Malignant neoplasm of stomach,4,lab_788-0_HIGH,Erythrocyte [DistWidth] in Red Blood Cells by Automated count - high,lab,across,laboratory,1.8371024603373256,1.039509137899752,6.28777471047016,cross-system candidate
full,icd_201,Hodgkin's disease,1,icd_785,Symptoms involving cardiovascular system,icd,within,clinical precursor,2.179925401277641,1.4961370796126756,8.554933397763989,positive control: same organ system
full,icd_161,Malignant neoplasm of larynx,1,icd_478,Other diseases of upper respiratory tract,icd,within,clinical precursor,3.265508392784984,2.2122208023441923,3.605504619957856,positive control: same organ system
full,icd_161,Malignant neoplasm of larynx,2,icd_784,Symptoms involving head and neck,icd,within,clinical precursor,1.9110285662349675,1.1251761340185158,6.477061012468312,cross-system candidate
full,icd_200,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue,1,lab_789-8_LOW,Erythrocytes [#/volume] in Blood by Automated count - low,lab,across,laboratory,2.134155463156387,1.5263904980465637,10.829007851753431,cross-system candidate
full,icd_200,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue,2,lab_788-0_HIGH,Erythrocyte [DistWidth] in Red Blood Cells by Automated count - high,lab,across,laboratory,2.166107267060964,1.2972818512246271,5.299012665470002,cross-system candidate
full,icd_200,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue,3,lab_718-7_LOW,Hemoglobin [Mass/volume] in Blood - low,lab,across,laboratory,1.9803213470655467,1.2923082266418886,8.450191491385226,cross-system candidate
full,icd_200,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue,4,lab_X1727-7_HIGH,X1727-7 - high,lab,across,laboratory,2.5176641636882477,1.2687274476530306,2.564360774420408,cross-system candidate
full,icd_200,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue,5,lab_736-9_LOW,Lymphocytes/Leukocytes in Blood by Automated count - low,lab,across,laboratory,2.10158163654522,1.1870501775166318,4.782584946436089,cross-system candidate
full,icd_200,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue,6,med_8591,potassium chloride,med,across,medication,2.153867482625442,1.0433032678391296,3.243191855752002,cross-system candidate
full,icd_192,Malignant neoplasm of other and unspecified parts of nervous system,1,icd_348,Other conditions of brain,icd,within,clinical precursor,2.568312424340464,1.3751442689064837,2.809678857592189,positive control: same organ system
full,icd_141,Malignant neoplasm of tongue,1,icd_528,"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue",icd,within,clinical precursor,4.35614944409711,3.176133671956008,2.8726609252898925,positive control: same organ system
full,icd_184,Malignant neoplasm of other and unspecified female genital organs,1,icd_624,Noninflammatory disorders of vulva and perineum,icd,within,clinical precursor,4.712731086389229,3.48251918216067,2.64301812228004,positive control: same organ system
full,icd_184,Malignant neoplasm of other and unspecified female genital organs,2,icd_622,Noninflammatory disorders of cervix,icd,within,clinical precursor,2.7957595319094835,1.8736238310880533,4.704032557278197,positive control: same organ system
full,icd_184,Malignant neoplasm of other and unspecified female genital organs,3,lab_19080-1_NORMAL,Choriogonadotropin [Units/volume] in Serum or Plasma - normal,lab,across,laboratory,2.2852021211315336,1.041608444072861,2.5864434107138834,positive control: tumour marker ordering
full,icd_C50,Malignant neoplasm of breast,1,proc_99203,"Office or other outpatient visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter for code...",proc,across,care pathway,3.4525813562902643,2.3216073244570508,3.12719328466369,care pathway
full,icd_C50,Malignant neoplasm of breast,2,proc_99213,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter...",proc,across,care pathway,2.6415853065451147,1.8007699641835484,5.657945189730299,care pathway
full,icd_C50,Malignant neoplasm of breast,3,proc_99396,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/d...",proc,across,care pathway,2.869313778305466,1.7629693914447666,3.2679794567939098,care pathway
full,icd_C50,Malignant neoplasm of breast,4,proc_99214,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the enco...",proc,across,care pathway,2.4915201518323054,1.4199328097233248,3.4834119823961487,care pathway
full,icd_194,Malignant neoplasm of other endocrine glands and related structures,1,icd_255,Disorders of adrenal glands,icd,within,clinical precursor,4.854087443697791,3.9000840028957606,4.395012445084262,positive control: same organ system
full,icd_C44,Other and unspecified malignant neoplasm of skin,1,proc_88305,"Level IV - Surgical pathology, gross and microscopic examination Abortion - spontaneous/missed Artery, biopsy Bone marrow, biopsy Bone exostosis Brain/meninges, other than for tumor resection Breast, biopsy, not requiring microscopic evaluation of surg...",proc,across,care pathway,4.942038101374431,3.5767194203059667,2.1458132678549617,care pathway
full,icd_C44,Other and unspecified malignant neoplasm of skin,2,proc_99396,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/d...",proc,across,care pathway,3.9788326510789855,3.3114607384608776,8.980988532088872,care pathway
full,icd_C44,Other and unspecified malignant neoplasm of skin,3,icd_Z00,"Encounter for general examination without complaint, suspected or reported diagnosis",icd,within,clinical precursor,3.7812489330636354,3.098777122851411,8.587970750113186,care pathway: screening encounter
full,icd_C44,Other and unspecified malignant neoplasm of skin,4,icd_Z23,Encounter for immunization,icd,within,clinical precursor,3.905550676604727,3.0000117223997216,4.878044035800599,care pathway: screening encounter
full,icd_C44,Other and unspecified malignant neoplasm of skin,5,proc_90686,"Influenza virus vaccine, quadrivalent (IIV4), split virus, preservative free, 0.5 mL dosage, for intramuscular use",proc,across,care pathway,3.9399510076027617,2.898886611445583,3.690666503063312,care pathway
