cohort,cancer,cancer_label,side,rank,source,source_label,modality,a,lcb,specificity,expected,tier
full,icd_205,Myeloid leukemia,diagnosis,1,icd_284,Aplastic anemia and other bone marrow failure syndromes,icd,4.5138367844970375,4.4927378676417185,4.5099997959782705,2.680487450452091,primary
full,icd_205,Myeloid leukemia,diagnosis,2,icd_288,Diseases of white blood cells,icd,3.7811430471867724,3.7652380293600967,3.309143795841171,10.00281121835883,primary
full,icd_205,Myeloid leukemia,diagnosis,3,icd_999,"Complications of medical care, not elsewhere classified",icd,3.1206172722640733,3.075621369975149,2.548447486528805,2.4516660150375458,primary
full,icd_205,Myeloid leukemia,diagnosis,4,icd_289,Other diseases of blood and blood-forming organs,icd,2.716696146599477,2.664308243116514,2.476216408527705,2.7335780022921767,primary
full,icd_205,Myeloid leukemia,diagnosis,5,icd_283,Acquired hemolytic anemias,icd,2.72386490211748,2.4929339972622855,2.8022102591775266,0.14171854801987394,primary
full,icd_205,Myeloid leukemia,diagnosis,6,icd_287,Purpura and other hemorrhagic conditions,icd,2.485608163905311,2.410988790405509,3.053457678387092,1.672236886900194,primary
full,icd_205,Myeloid leukemia,diagnosis,7,icd_273,Disorders of plasma protein metabolism,icd,1.397375216690435,1.2320604135183089,1.228195118073559,0.9720200640799703,secondary
full,icd_205,Myeloid leukemia,diagnosis,8,icd_V42,Organ or tissue replaced by transplant,icd,1.4031198611754425,1.2213753159333316,2.08928292234634,0.8325620354613008,primary
full,icd_205,Myeloid leukemia,cross_modal,1,lab_29247-4_NORMAL,Sirolimus [Mass/volume] in Blood - normal,lab,4.681582272688129,4.602112086717144,4.193347522204772,0.35874915552375164,primary
full,icd_205,Myeloid leukemia,cross_modal,2,lab_4542-7_HIGH,Haptoglobin [Mass/volume] in Serum or Plasma - high,lab,4.336094850253808,4.2802548777310205,3.2368732990453375,0.6710410198077632,primary
full,icd_205,Myeloid leukemia,cross_modal,3,lab_2532-0_HIGH,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma - high,lab,4.0959078443828805,4.061856546188369,3.100025380924329,2.495423366791499,primary
full,icd_205,Myeloid leukemia,cross_modal,4,med_236058,cefepime,med,3.8334008754072144,3.750123191704126,2.8586363168677127,0.41013990441812354,primary
full,icd_205,Myeloid leukemia,cross_modal,5,lab_3255-7_HIGH,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay - high,lab,3.454916251678589,3.390846669438068,3.1173719733955436,1.5785750094015327,primary
full,icd_205,Myeloid leukemia,cross_modal,6,lab_19048-8_HIGH,Nucleated erythrocytes/Leukocytes [Ratio] in Blood - high,lab,3.4426623877932463,3.362188128657583,2.6777906623519145,0.9527396538314292,primary
full,icd_205,Myeloid leukemia,cross_modal,7,med_42316,tacrolimus,med,3.402101096670962,3.288786464701708,2.5169287783091097,0.4026236330700286,primary
full,icd_205,Myeloid leukemia,cross_modal,8,lab_4679-7_HIGH,Reticulocytes/Erythrocytes in Blood - high,lab,3.325590465796715,3.227500185659777,2.551866380818256,0.5822983611933807,primary
full,icd_205,Myeloid leukemia,cross_modal,9,lab_2862-1_LOW,Albumin [Mass/volume] in Serum or Plasma by Electrophoresis - low,lab,3.321348120223704,3.164813127970363,2.7296305265935095,0.20729018972984825,primary
