cohort,cancer,cancer_label,side,rank,source,source_label,modality,a,lcb,specificity,expected,tier
cancer,icd_191,Malignant neoplasm of brain,cross_modal,4,lab_5905-5_LOW,Monocytes/Leukocytes in Blood by Automated count - low,lab,3.512107645749097,3.3628714316808748,3.129093570379845,0.7987129949674454,primary
cancer,icd_191,Malignant neoplasm of brain,cross_modal,5,med_1297766,atorvastatin,med,3.318120919464796,3.186034718640065,3.6457702589591725,1.018436567560201,primary
cancer,icd_191,Malignant neoplasm of brain,cross_modal,6,med_1483793,1483793,med,3.3130809380630777,3.180708542770665,3.6415350295072613,1.018743351674459,primary
cancer,icd_191,Malignant neoplasm of brain,cross_modal,7,med_4278,famotidine,med,3.1420076420647804,2.99123902348557,3.0080895053215544,1.3083949058259918,primary
cancer,icd_191,Malignant neoplasm of brain,cross_modal,8,lab_2039-6_NORMAL,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma - normal,lab,3.0462540194715393,2.8233347640195374,1.8739871663549528,0.44951608846373503,primary
cancer,icd_191,Malignant neoplasm of brain,cross_modal,9,lab_2692-2_NORMAL,Osmolality of Serum or Plasma - normal,lab,3.1800528387101625,2.781009603817823,3.01658901376659,0.22178065085612175,primary
control,icd_183,Malignant neoplasm of ovary and other uterine adnexa,diagnosis,1,icd_620,"Noninflammatory disorders of ovary, fallopian tube, and broad ligament",icd,2.6285056545144805,2.59450764931727,3.4771920861733006,25.477078421029546,primary
control,icd_183,Malignant neoplasm of ovary and other uterine adnexa,diagnosis,2,icd_568,Other disorders of peritoneum,icd,2.294101074363391,2.0574494285467235,2.32326394859482,0.8892893985740358,primary
control,icd_183,Malignant neoplasm of ovary and other uterine adnexa,diagnosis,3,icd_V72,Special investigations and examinations,icd,2.00872945621186,1.9877033378199347,1.3184049114463066,112.89513260677631,secondary
control,icd_183,Malignant neoplasm of ovary and other uterine adnexa,diagnosis,4,icd_789,Other symptoms involving abdomen and pelvis,icd,1.6476269097702843,1.6112675543088266,1.8036759864355458,56.45200341183454,primary
control,icd_183,Malignant neoplasm of ovary and other uterine adnexa,diagnosis,5,icd_625,Pain and other symptoms associated with female genital organs,icd,1.2597612939019243,1.1682661873323417,2.5121376685027847,13.213295098785238,primary
control,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,1,lab_2039-6_HIGH,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma - high,lab,3.590894501079906,3.441645944530416,1.7331369242868695,0.5028746045873085,primary
control,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,2,lab_19080-1_NORMAL,Choriogonadotropin [Units/volume] in Serum or Plasma - normal,lab,2.9865980545760893,2.9621723099134902,2.6205594125336114,41.40170785228224,primary
control,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,3,med_52356,magnesium citrate,med,3.0264524797986825,2.772481756089259,1.9381782031943342,0.4633710977067551,primary
control,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,4,med_36709,sodium phosphate,med,2.96166443736052,2.740420299992425,1.6318292320273942,0.5904847705779162,primary
control,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,5,lab_2336-6_HIGH,Globulin [Mass/volume] in Serum - high,lab,2.7021044285913742,2.627221919259287,1.837927006697984,5.6336878213776345,primary
control,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,6,med_7300,neomycin,med,2.7830681562206205,2.5388001080057396,1.119477106761486,0.45504966658953094,secondary
control,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,7,lab_1742-6_LOW,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma - low,lab,2.5291258782152175,2.3466512731235625,2.0959693342276116,1.573161666938148,primary
control,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,8,med_325514,indigotindisulfonate,med,2.5930347227549926,2.316958018288731,1.894331739325261,0.7784530130743974,primary
control,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,9,lab_777-3_HIGH,Platelets [#/volume] in Blood by Automated count - high,lab,2.359036295180763,2.287182923898402,1.0694388122209753,9.978946029942563,secondary
control,icd_157,Malignant neoplasm of pancreas,diagnosis,1,icd_577,Diseases of pancreas,icd,4.496389628205355,4.489253066807184,4.832740251542093,26.206898868141252,primary
control,icd_157,Malignant neoplasm of pancreas,diagnosis,2,icd_576,Other disorders of biliary tract,icd,4.255035793350865,4.239299940064563,4.5373934649335315,6.920300963403292,primary
control,icd_157,Malignant neoplasm of pancreas,diagnosis,3,icd_452,Portal vein thrombosis,icd,3.441743431790038,3.303265124648719,3.178888158101613,0.19650983717521875,primary
control,icd_157,Malignant neoplasm of pancreas,diagnosis,4,icd_751,Other congenital anomalies of digestive system,icd,2.984924007889817,2.861817627532269,2.8969691723587743,0.45592869089569277,primary
control,icd_157,Malignant neoplasm of pancreas,diagnosis,5,icd_573,Other disorders of liver,icd,2.4664324331595724,2.413231752356779,1.899188530484563,3.4702595505766567,primary
control,icd_157,Malignant neoplasm of pancreas,diagnosis,6,icd_537,Other disorders of stomach and duodenum,icd,2.122127814746217,1.9571950589784581,2.1208219403223803,0.5451533754361471,primary
control,icd_157,Malignant neoplasm of pancreas,diagnosis,7,icd_531,Gastric ulcer,icd,2.0007445212780315,1.7521969228568872,2.5162688392366257,0.2657490294527154,primary
control,icd_157,Malignant neoplasm of pancreas,diagnosis,8,icd_575,Other disorders of gallbladder,icd,1.8689371135533661,1.7296588289499586,2.5800667900945498,1.0189007879003853,primary
control,icd_157,Malignant neoplasm of pancreas,cross_modal,1,med_253170,glucagon,med,3.866089107585695,3.8192514025701385,2.887501744331466,1.3382169157087986,primary
control,icd_157,Malignant neoplasm of pancreas,cross_modal,2,lab_2039-6_HIGH,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma - high,lab,3.3077361364778923,3.1219431339793418,1.4499785596848558,0.13323039280088533,secondary
control,icd_157,Malignant neoplasm of pancreas,cross_modal,3,med_7300,neomycin,med,2.8917086611488374,2.6862001614018465,1.2281176116897028,0.17838506533601084,secondary
control,icd_157,Malignant neoplasm of pancreas,cross_modal,4,med_743,amylase,med,2.8937373941921893,2.681372730326947,1.8798485294114842,0.18297609796475278,primary
control,icd_157,Malignant neoplasm of pancreas,cross_modal,5,med_6406,lipase,med,2.893737393913226,2.6813727300479835,1.8798485294114844,0.18297609796475278,primary
control,icd_157,Malignant neoplasm of pancreas,cross_modal,6,med_8031,protease,med,2.891878063126311,2.6794073085127215,1.8586314404910345,0.18331781554061788,primary
control,icd_157,Malignant neoplasm of pancreas,cross_modal,7,med_236460,tizanidine,med,2.8006279065419055,2.4842360399692383,2.4436918402002714,0.10046894472270917,primary
control,icd_157,Malignant neoplasm of pancreas,cross_modal,8,lab_1968-7_HIGH,Bilirubin.direct [Mass/volume] in Serum or Plasma - high,lab,2.5078675600484037,2.368824064821511,1.7186647034729274,0.7407982186294149,primary
control,icd_157,Malignant neoplasm of pancreas,cross_modal,9,lab_6768-6_HIGH,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma - high,lab,2.437484948703489,2.3667386359994746,1.3890968824073302,3.2015613499704187,secondary
control,icd_191,Malignant neoplasm of brain,diagnosis,1,icd_348,Other conditions of brain,icd,3.6737408762989805,3.6627339894735726,4.003291451505631,59.513934216636244,primary
control,icd_191,Malignant neoplasm of brain,diagnosis,2,icd_742,Other congenital anomalies of nervous system,icd,3.036082536401738,2.9400017383288963,3.64307214892881,1.563060815265338,primary
control,icd_191,Malignant neoplasm of brain,diagnosis,3,icd_431,Intracerebral hemorrhage,icd,2.6312785245497903,2.577732166852132,3.5622004870247084,7.177536049411174,primary
control,icd_191,Malignant neoplasm of brain,diagnosis,4,icd_V66,Convalescence and palliative care,icd,2.743196366103156,2.467818418502576,2.9387173717486172,0.2295608217886862,primary
control,icd_191,Malignant neoplasm of brain,diagnosis,5,icd_377,Disorders of optic nerve and visual pathways,icd,2.407048561156284,2.247351836639039,3.5200671189652337,1.015159585533553,primary
control,icd_191,Malignant neoplasm of brain,diagnosis,6,icd_368,Visual disturbances,icd,2.2301384777365,2.1535910520586854,2.782485019945203,5.2459723183762605,primary
control,icd_191,Malignant neoplasm of brain,diagnosis,7,icd_432,Other and unspecified intracranial hemorrhage,icd,2.139989978848975,2.036398002779301,3.391174441995908,3.1673593062595273,primary
control,icd_191,Malignant neoplasm of brain,diagnosis,8,icd_349,Other and unspecified disorders of the nervous system,icd,2.1855911507761983,2.026458822337433,2.500451062417518,1.3017168919168398,primary
control,icd_191,Malignant neoplasm of brain,cross_modal,1,med_114477,levetiracetam,med,3.6441994066984025,3.607946060416189,3.2328914958405623,7.5678871535636745,primary
control,icd_191,Malignant neoplasm of brain,cross_modal,2,med_235988,venlafaxine,med,3.564345440996565,3.4971682770292873,2.6910631601272113,2.3089014711079017,primary
control,icd_191,Malignant neoplasm of brain,cross_modal,3,lab_3968-5_NORMAL,Phenytoin [Mass/volume] in Serum or Plasma - normal,lab,3.5296095055532084,3.4749397974800074,2.9841687651376985,4.216485448266752,primary
control,icd_191,Malignant neoplasm of brain,cross_modal,4,med_167,acetazolamide,med,3.2918792180295373,3.088071254863016,2.7590617942228732,0.34586858670681053,primary
control,icd_191,Malignant neoplasm of brain,cross_modal,5,med_825006,thrombin,med,3.168877961619908,3.0804203126001375,2.0972482113532087,3.0708820927800673,primary
control,icd_191,Malignant neoplasm of brain,cross_modal,6,med_7396,nicardipine,med,3.1774909549949197,3.0777169963147015,2.248532027301848,1.4689051093184844,primary
control,icd_191,Malignant neoplasm of brain,cross_modal,7,lab_2692-2_HIGH,Osmolality of Serum or Plasma - high,lab,3.1405471946758943,3.0538432451866724,2.882142147077724,2.52721452190184,primary
control,icd_191,Malignant neoplasm of brain,cross_modal,8,med_89792,mannitol,med,3.1050773230591027,3.010639408836895,2.2679643483174883,2.0578600446648494,primary
control,icd_191,Malignant neoplasm of brain,cross_modal,9,med_3264,dexamethasone,med,3.0043786850710656,2.9554821986851016,2.0363952472902693,11.64949346167134,primary
control,icd_205,Myeloid leukemia,diagnosis,1,icd_284,Aplastic anemia and other bone marrow failure syndromes,icd,4.514296570791606,4.493649751851154,4.632632897391988,2.3894758057450645,primary
control,icd_205,Myeloid leukemia,diagnosis,2,icd_288,Diseases of white blood cells,icd,3.720211468238479,3.703976875273249,3.271271715913107,8.745037363667052,primary
control,icd_205,Myeloid leukemia,diagnosis,3,icd_999,"Complications of medical care, not elsewhere classified",icd,2.991686699242036,2.9417714522660234,2.447425087290424,1.9496885464998428,primary
control,icd_205,Myeloid leukemia,diagnosis,4,icd_289,Other diseases of blood and blood-forming organs,icd,2.7324355481314684,2.682660659427455,2.478982096645016,2.564223236143789,primary
control,icd_205,Myeloid leukemia,diagnosis,5,icd_283,Acquired hemolytic anemias,icd,2.7663278539723817,2.55655882654977,2.824397426426695,0.1416166169016746,primary
control,icd_205,Myeloid leukemia,diagnosis,6,icd_287,Purpura and other hemorrhagic conditions,icd,2.521729782307991,2.452359254252108,3.0903823748653436,1.6044293782381374,primary
control,icd_205,Myeloid leukemia,diagnosis,7,icd_273,Disorders of plasma protein metabolism,icd,1.4410487320618106,1.286211214634362,1.26891398519508,0.9122237837925695,secondary
control,icd_205,Myeloid leukemia,diagnosis,8,icd_V42,Organ or tissue replaced by transplant,icd,1.4172076697274223,1.236349362615681,2.117540214975792,0.7128710105866176,primary
control,icd_205,Myeloid leukemia,cross_modal,1,lab_29247-4_NORMAL,Sirolimus [Mass/volume] in Blood - normal,lab,4.535417058375745,4.440934696775891,4.114645022307932,0.25729426261992394,primary
control,icd_205,Myeloid leukemia,cross_modal,2,lab_4542-7_HIGH,Haptoglobin [Mass/volume] in Serum or Plasma - high,lab,4.397417328461664,4.343454706690186,3.266561005981586,0.5883036782514353,primary
control,icd_205,Myeloid leukemia,cross_modal,3,lab_2532-0_HIGH,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma - high,lab,4.141064894300283,4.108771620396727,3.209479726747582,2.3054495251094522,primary
control,icd_205,Myeloid leukemia,cross_modal,4,med_236058,cefepime,med,3.9112913188184373,3.836364320701983,2.9081384785545294,0.40091166126007494,primary
control,icd_205,Myeloid leukemia,cross_modal,5,lab_19048-8_HIGH,Nucleated erythrocytes/Leukocytes [Ratio] in Blood - high,lab,3.49082858319403,3.417750507156918,2.724291914402289,0.9474645124291996,primary
control,icd_205,Myeloid leukemia,cross_modal,6,med_42316,tacrolimus,med,3.4996310649699196,3.3969110218323415,2.549972433695718,0.38537034998723385,primary
