stratum,n_events,noise_floor,noise_floor_sd,observed_cancer_vs_control,gap_beyond_noise
5-20,846,0.1497241922773838,0.0031547959213689344,0.33900709219858155,-0.18928289992119776
20-50,362,0.3074585635359116,0.008138629758373624,0.4825966850828729,-0.1751381215469613
50-200,369,0.3212285456187895,0.004406051815088428,0.6097560975609756,-0.2885275519421861
200-inf,180,0.5646296296296296,0.010323970270197273,0.7272222222222222,-0.16259259259259262
